c,unique_rows,pairwise_distinct,disagreement_rank,representative_degree,rank_equals_degree
0x01,256,True,0,0,True
0x02,256,True,1,1,True
0x03,256,True,1,1,True
0x04,256,True,2,2,True
0x05,256,True,2,2,True
0x06,256,True,2,2,True
0x07,256,True,2,2,True
0x08,256,True,3,3,True
0x09,256,True,3,3,True
0x0a,256,True,3,3,True
0x0b,256,True,3,3,True
0x0c,256,True,3,3,True
0x0d,256,True,3,3,True
0x0e,256,True,3,3,True
0x0f,256,True,3,3,True
0x10,256,True,4,4,True
0x11,256,True,4,4,True
0x12,256,True,4,4,True
0x13,256,True,4,4,True
0x14,256,True,4,4,True
0x15,256,True,4,4,True
0x16,256,True,4,4,True
0x17,256,True,4,4,True
0x18,256,True,4,4,True
0x19,256,True,4,4,True
0x1a,256,True,4,4,True
0x1b,256,True,4,4,True
0x1c,256,True,4,4,True
0x1d,256,True,4,4,True
0x1e,256,True,4,4,True
0x1f,256,True,4,4,True
0x20,256,True,5,5,True
0x21,256,True,5,5,True
0x22,256,True,5,5,True
0x23,256,True,5,5,True
0x24,256,True,5,5,True
0x25,256,True,5,5,True
0x26,256,True,5,5,True
0x27,256,True,5,5,True
0x28,256,True,5,5,True
0x29,256,True,5,5,True
0x2a,256,True,5,5,True
0x2b,256,True,5,5,True
0x2c,256,True,5,5,True
0x2d,256,True,5,5,True
0x2e,256,True,5,5,True
0x2f,256,True,5,5,True
0x30,256,True,5,5,True
0x31,256,True,5,5,True
0x32,256,True,5,5,True
0x33,256,True,5,5,True
0x34,256,True,5,5,True
0x35,256,True,5,5,True
0x36,256,True,5,5,True
0x37,256,True,5,5,True
0x38,256,True,5,5,True
0x39,256,True,5,5,True
0x3a,256,True,5,5,True
0x3b,256,True,5,5,True
0x3c,256,True,5,5,True
0x3d,256,True,5,5,True
0x3e,256,True,5,5,True
0x3f,256,True,5,5,True
0x40,256,True,6,6,True
0x41,256,True,6,6,True
0x42,256,True,6,6,True
0x43,256,True,6,6,True
0x44,256,True,6,6,True
0x45,256,True,6,6,True
0x46,256,True,6,6,True
0x47,256,True,6,6,True
0x48,256,True,6,6,True
0x49,256,True,6,6,True
0x4a,256,True,6,6,True
0x4b,256,True,6,6,True
0x4c,256,True,6,6,True
0x4d,256,True,6,6,True
0x4e,256,True,6,6,True
0x4f,256,True,6,6,True
0x50,256,True,6,6,True
0x51,256,True,6,6,True
0x52,256,True,6,6,True
0x53,256,True,6,6,True
0x54,256,True,6,6,True
0x55,256,True,6,6,True
0x56,256,True,6,6,True
0x57,256,True,6,6,True
0x58,256,True,6,6,True
0x59,256,True,6,6,True
0x5a,256,True,6,6,True
0x5b,256,True,6,6,True
0x5c,256,True,6,6,True
0x5d,256,True,6,6,True
0x5e,256,True,6,6,True
0x5f,256,True,6,6,True
0x60,256,True,6,6,True
0x61,256,True,6,6,True
0x62,256,True,6,6,True
0x63,256,True,6,6,True
0x64,256,True,6,6,True
0x65,256,True,6,6,True
0x66,256,True,6,6,True
0x67,256,True,6,6,True
0x68,256,True,6,6,True
0x69,256,True,6,6,True
0x6a,256,True,6,6,True
0x6b,256,True,6,6,True
0x6c,256,True,6,6,True
0x6d,256,True,6,6,True
0x6e,256,True,6,6,True
0x6f,256,True,6,6,True
0x70,256,True,6,6,True
0x71,256,True,6,6,True
0x72,256,True,6,6,True
0x73,256,True,6,6,True
0x74,256,True,6,6,True
0x75,256,True,6,6,True
0x76,256,True,6,6,True
0x77,256,True,6,6,True
0x78,256,True,6,6,True
0x79,256,True,6,6,True
0x7a,256,True,6,6,True
0x7b,256,True,6,6,True
0x7c,256,True,6,6,True
0x7d,256,True,6,6,True
0x7e,256,True,6,6,True
0x7f,256,True,6,6,True
0x80,256,True,7,7,True
0x81,256,True,7,7,True
0x82,256,True,7,7,True
0x83,256,True,7,7,True
0x84,256,True,7,7,True
0x85,256,True,7,7,True
0x86,256,True,7,7,True
0x87,256,True,7,7,True
0x88,256,True,7,7,True
0x89,256,True,7,7,True
0x8a,256,True,7,7,True
0x8b,256,True,7,7,True
0x8c,256,True,7,7,True
0x8d,256,True,7,7,True
0x8e,256,True,7,7,True
0x8f,256,True,7,7,True
0x90,256,True,7,7,True
0x91,256,True,7,7,True
0x92,256,True,7,7,True
0x93,256,True,7,7,True
0x94,256,True,7,7,True
0x95,256,True,7,7,True
0x96,256,True,7,7,True
0x97,256,True,7,7,True
0x98,256,True,7,7,True
0x99,256,True,7,7,True
0x9a,256,True,7,7,True
0x9b,256,True,7,7,True
0x9c,256,True,7,7,True
0x9d,256,True,7,7,True
0x9e,256,True,7,7,True
0x9f,256,True,7,7,True
0xa0,256,True,7,7,True
0xa1,256,True,7,7,True
0xa2,256,True,7,7,True
0xa3,256,True,7,7,True
0xa4,256,True,7,7,True
0xa5,256,True,7,7,True
0xa6,256,True,7,7,True
0xa7,256,True,7,7,True
0xa8,256,True,7,7,True
0xa9,256,True,7,7,True
0xaa,256,True,7,7,True
0xab,256,True,7,7,True
0xac,256,True,7,7,True
0xad,256,True,7,7,True
0xae,256,True,7,7,True
0xaf,256,True,7,7,True
0xb0,256,True,7,7,True
0xb1,256,True,7,7,True
0xb2,256,True,7,7,True
0xb3,256,True,7,7,True
0xb4,256,True,7,7,True
0xb5,256,True,7,7,True
0xb6,256,True,7,7,True
0xb7,256,True,7,7,True
0xb8,256,True,7,7,True
0xb9,256,True,7,7,True
0xba,256,True,7,7,True
0xbb,256,True,7,7,True
0xbc,256,True,7,7,True
0xbd,256,True,7,7,True
0xbe,256,True,7,7,True
0xbf,256,True,7,7,True
0xc0,256,True,7,7,True
0xc1,256,True,7,7,True
0xc2,256,True,7,7,True
0xc3,256,True,7,7,True
0xc4,256,True,7,7,True
0xc5,256,True,7,7,True
0xc6,256,True,7,7,True
0xc7,256,True,7,7,True
0xc8,256,True,7,7,True
0xc9,256,True,7,7,True
0xca,256,True,7,7,True
0xcb,256,True,7,7,True
0xcc,256,True,7,7,True
0xcd,256,True,7,7,True
0xce,256,True,7,7,True
0xcf,256,True,7,7,True
0xd0,256,True,7,7,True
0xd1,256,True,7,7,True
0xd2,256,True,7,7,True
0xd3,256,True,7,7,True
0xd4,256,True,7,7,True
0xd5,256,True,7,7,True
0xd6,256,True,7,7,True
0xd7,256,True,7,7,True
0xd8,256,True,7,7,True
0xd9,256,True,7,7,True
0xda,256,True,7,7,True
0xdb,256,True,7,7,True
0xdc,256,True,7,7,True
0xdd,256,True,7,7,True
0xde,256,True,7,7,True
0xdf,256,True,7,7,True
0xe0,256,True,7,7,True
0xe1,256,True,7,7,True
0xe2,256,True,7,7,True
0xe3,256,True,7,7,True
0xe4,256,True,7,7,True
0xe5,256,True,7,7,True
0xe6,256,True,7,7,True
0xe7,256,True,7,7,True
0xe8,256,True,7,7,True
0xe9,256,True,7,7,True
0xea,256,True,7,7,True
0xeb,256,True,7,7,True
0xec,256,True,7,7,True
0xed,256,True,7,7,True
0xee,256,True,7,7,True
0xef,256,True,7,7,True
0xf0,256,True,7,7,True
0xf1,256,True,7,7,True
0xf2,256,True,7,7,True
0xf3,256,True,7,7,True
0xf4,256,True,7,7,True
0xf5,256,True,7,7,True
0xf6,256,True,7,7,True
0xf7,256,True,7,7,True
0xf8,256,True,7,7,True
0xf9,256,True,7,7,True
0xfa,256,True,7,7,True
0xfb,256,True,7,7,True
0xfc,256,True,7,7,True
0xfd,256,True,7,7,True
0xfe,256,True,7,7,True
0xff,256,True,7,7,True
