trial,success,true_second_master_half,recovered_second_master_half
1,True,358e2985f1dcb1b9f0ad5649813dd2ca,358e2985f1dcb1b9f0ad5649813dd2ca
2,True,88342450630c0734bc3a16570662e976,88342450630c0734bc3a16570662e976
3,True,d0191b37a18faf33c3e5fba4769dbe40,d0191b37a18faf33c3e5fba4769dbe40
4,True,40d1fbbfa18cf2ad6b3a5db0520c3688,40d1fbbfa18cf2ad6b3a5db0520c3688
5,True,f771c17662de85e810684de9c171a632,f771c17662de85e810684de9c171a632
6,True,fb2adda3b24627f33166c3c7060b78b9,fb2adda3b24627f33166c3c7060b78b9
7,True,29e1a954c3351d019315368a2db8b6c2,29e1a954c3351d019315368a2db8b6c2
8,True,ababc98a2318d1f0ba82145f149559a1,ababc98a2318d1f0ba82145f149559a1
9,True,6ba5c1db733e1974202eca3fd3eeee06,6ba5c1db733e1974202eca3fd3eeee06
10,True,8b75bb6b630ce74f746696016d5d6878,8b75bb6b630ce74f746696016d5d6878
11,True,15c5585b1efffe8c7fb87ffb0dd336f5,15c5585b1efffe8c7fb87ffb0dd336f5
12,True,1153edf858faee7176cbf2ae7bdd8e39,1153edf858faee7176cbf2ae7bdd8e39
13,True,efe6a51adbd7408f66a34fb599992b51,efe6a51adbd7408f66a34fb599992b51
14,True,5dc526c84dc5b9728ca6cd4a2077bd26,5dc526c84dc5b9728ca6cd4a2077bd26
15,True,b076021bae42eaa7ce4523b82090a4fe,b076021bae42eaa7ce4523b82090a4fe
16,True,bbdc77483ec0e4eaf22ceba1184bd377,bbdc77483ec0e4eaf22ceba1184bd377
17,True,07e88927fd8f0cc7297b89eb60606928,07e88927fd8f0cc7297b89eb60606928
18,True,8555766f9f20f692e6ae034c983a5aee,8555766f9f20f692e6ae034c983a5aee
19,True,bf728d255ade5d0d0c7422b73b54b368,bf728d255ade5d0d0c7422b73b54b368
20,True,0cfbe0b3ae90370245161e6515ff2b17,0cfbe0b3ae90370245161e6515ff2b17
21,True,13ff4a2168159e3dbcc8a4537aa8a6ec,13ff4a2168159e3dbcc8a4537aa8a6ec
22,True,d2fb75f8bf6c3bf70984550b2beec816,d2fb75f8bf6c3bf70984550b2beec816
23,True,f3bd714cbbc5c56695c474f95a095d33,f3bd714cbbc5c56695c474f95a095d33
24,True,cd7728f43ea2085263905bed6e3efee9,cd7728f43ea2085263905bed6e3efee9
25,True,2d5076071c8636a57561077031c607b0,2d5076071c8636a57561077031c607b0
26,True,7816271529524af0c334bbea64fc3976,7816271529524af0c334bbea64fc3976
27,True,9df80ddde8a0634e7d7db573da3e90ff,9df80ddde8a0634e7d7db573da3e90ff
28,True,d52e8a6a7f27659bcd3820adf1d9547f,d52e8a6a7f27659bcd3820adf1d9547f
29,True,8e23dd22b7f661068c4e4f5e8636f57e,8e23dd22b7f661068c4e4f5e8636f57e
30,True,31a25bd2c09b1f8b84fe746e45ca7c84,31a25bd2c09b1f8b84fe746e45ca7c84
31,True,271b0ebc300592cc3bc105efff7cb801,271b0ebc300592cc3bc105efff7cb801
32,True,153fb2ffdca7800c8151b11b5b28c2e7,153fb2ffdca7800c8151b11b5b28c2e7
33,True,6b80df8c1040b5ccbdf7c88c217b65c7,6b80df8c1040b5ccbdf7c88c217b65c7
34,True,8a26b0c562698034920e1c28adf97319,8a26b0c562698034920e1c28adf97319
35,True,92cf69b474a7ec1df18960d8e8ac7ceb,92cf69b474a7ec1df18960d8e8ac7ceb
36,True,1c3dec8c395334de900d34ed0c5df3f0,1c3dec8c395334de900d34ed0c5df3f0
37,True,5d78f0cdbf3cd90b55fec4ec178e4fd4,5d78f0cdbf3cd90b55fec4ec178e4fd4
38,True,cc6cb38fd2e5e4149c308d218b2c7f43,cc6cb38fd2e5e4149c308d218b2c7f43
39,True,bf219452afe27296e133116730447717,bf219452afe27296e133116730447717
40,True,5603ab53588d46103303ba648bd0c575,5603ab53588d46103303ba648bd0c575
41,True,9c68183e0763b292fb0b501b3f86ba4e,9c68183e0763b292fb0b501b3f86ba4e
42,True,5026ddda38aa2ff14d7526b44545028d,5026ddda38aa2ff14d7526b44545028d
43,True,d5cd50c51e190cb45965ee466f618384,d5cd50c51e190cb45965ee466f618384
44,True,e09f962db204850211dd141bcc880642,e09f962db204850211dd141bcc880642
45,True,49639fab040b0594318560ad8b96395d,49639fab040b0594318560ad8b96395d
46,True,4f6cd9a8499c95efe10f68485fa5008b,4f6cd9a8499c95efe10f68485fa5008b
47,True,2e13aaff9138924c2c9e6170e451f396,2e13aaff9138924c2c9e6170e451f396
48,True,aa4e8d97d625d73ea346e1bf229912b0,aa4e8d97d625d73ea346e1bf229912b0
49,True,9680aa8c2e44323c5e270126d83f2444,9680aa8c2e44323c5e270126d83f2444
50,True,16de115e989ddedb2fe9f2f95f032f52,16de115e989ddedb2fe9f2f95f032f52
51,True,702bb51a63a720150d205ced5d3a212b,702bb51a63a720150d205ced5d3a212b
52,True,7ec3a89965f1e3f99f6939a9d731caf6,7ec3a89965f1e3f99f6939a9d731caf6
53,True,08eb1d8f8f89be6f9dbde50d687a0835,08eb1d8f8f89be6f9dbde50d687a0835
54,True,5e3d0c3c65cc8e2f6fbcdb3d25ce9106,5e3d0c3c65cc8e2f6fbcdb3d25ce9106
55,True,9c854dabd22610f79aa8706550095d80,9c854dabd22610f79aa8706550095d80
56,True,3d991f56534297d2a966351ee191b6a5,3d991f56534297d2a966351ee191b6a5
57,True,e8f6b139c9f953644bec1f584ad438e4,e8f6b139c9f953644bec1f584ad438e4
58,True,ab64746089a22b6f47632bde22be02d1,ab64746089a22b6f47632bde22be02d1
59,True,c23ee15eeb74d9a559944ba68fd836d5,c23ee15eeb74d9a559944ba68fd836d5
60,True,6b3675f20c45467df0964d0e96669a1e,6b3675f20c45467df0964d0e96669a1e
61,True,72c71ef131f1145a4febab270bb262a4,72c71ef131f1145a4febab270bb262a4
62,True,7cf5a22595ee6769ec76f7f06d6ae731,7cf5a22595ee6769ec76f7f06d6ae731
63,True,70dd5926eedf9d3955aa774b24efc0a1,70dd5926eedf9d3955aa774b24efc0a1
64,True,19e4e541c5b1cdb5d22a0edf3211f334,19e4e541c5b1cdb5d22a0edf3211f334
65,True,b72d6fe9a185322ed3a4b388cd34d9ea,b72d6fe9a185322ed3a4b388cd34d9ea
66,True,0260c0922cc3a1a023b811ab2e458f7d,0260c0922cc3a1a023b811ab2e458f7d
67,True,b7831e1bd66de102f11401852b67e1da,b7831e1bd66de102f11401852b67e1da
68,True,f308555919cbadc9a02425eb41c4aeff,f308555919cbadc9a02425eb41c4aeff
69,True,25d0685089d93c6e710015fe0dd07160,25d0685089d93c6e710015fe0dd07160
70,True,3303a68070ecca25081f1df60c461bd0,3303a68070ecca25081f1df60c461bd0
71,True,73c57b88b2c8dda3ae6b519c856dcc48,73c57b88b2c8dda3ae6b519c856dcc48
72,True,fa0eb65c67765561af19b8bdb9f20504,fa0eb65c67765561af19b8bdb9f20504
73,True,1b5651f34dcae5411317a4b4cf9d5a48,1b5651f34dcae5411317a4b4cf9d5a48
74,True,d76fdca170f07d967ec6754dbe0ce993,d76fdca170f07d967ec6754dbe0ce993
75,True,86790992d08b3c3e5ae94f20c6ad34e2,86790992d08b3c3e5ae94f20c6ad34e2
76,True,280f59979dfb1ff7e667082e7722edf8,280f59979dfb1ff7e667082e7722edf8
77,True,86cfb2249ea4ea62635eb9c7904af2cb,86cfb2249ea4ea62635eb9c7904af2cb
78,True,1dce1c38083a4ce356ce47fab813d52f,1dce1c38083a4ce356ce47fab813d52f
79,True,eefb858fb01a262bfc6ed97ecb71e684,eefb858fb01a262bfc6ed97ecb71e684
80,True,f3dc416eab212367a0c85afc7193d0e1,f3dc416eab212367a0c85afc7193d0e1
81,True,8fab5a041ee8c4529687d631360aacdc,8fab5a041ee8c4529687d631360aacdc
82,True,1d6896c90319ff9eef6609a77e5841a4,1d6896c90319ff9eef6609a77e5841a4
83,True,1083aad02a3526233e245cc15061cc75,1083aad02a3526233e245cc15061cc75
84,True,b3c85ccd8f37a59aa29978973a317fcf,b3c85ccd8f37a59aa29978973a317fcf
85,True,4ab0609b4a6e6eccea5627008a2c9672,4ab0609b4a6e6eccea5627008a2c9672
86,True,bf10179c47538f8811cace6dfa92536c,bf10179c47538f8811cace6dfa92536c
87,True,4b036a0f16104b011ea2373e2c074781,4b036a0f16104b011ea2373e2c074781
