c,worst_Dmin_across_bytes,N_all16_1pct,chosen_queries_17N,worst_j,selected_i,coef
0x4f,0.0009804812801911173,13177,224009,12,10,0xc6
0xaa,0.0009804812801911173,13177,224009,12,10,0xc6
0x62,0.000965510032378501,13381,227477,7,10,0xc9
0xea,0.000965510032378501,13381,227477,7,10,0xc9
0x04,0.0009642779371385676,13398,227766,5,5,0xbc
0x91,0.0009642779371385676,13398,227766,5,5,0xbc
0x19,0.0009630881394332373,13415,228055,7,8,0x49
0xd0,0.0009630881394332373,13415,228055,7,8,0x49
0x8c,0.0009613752634006548,13439,228463,1,13,0x99
0x96,0.0009613752634006548,13439,228463,1,13,0x99
0x17,0.0009611547147109686,13442,228514,9,6,0xeb
0x31,0.0009611547147109686,13442,228514,9,6,0xeb
0x22,0.0009609541145790685,13444,228548,12,14,0x44
0xb0,0.0009609541145790685,13444,228548,12,14,0x44
0x10,0.0009581648550402886,13484,229228,11,11,0x91
0xb5,0.0009581648550402886,13484,229228,11,11,0x91
0x05,0.000956752762162399,13503,229551,2,4,0x6b
0x6a,0.000956752762162399,13503,229551,2,4,0x6b
0x4b,0.0009564215315789072,13508,229636,4,10,0x1a
0xdb,0.0009564215315789072,13508,229636,4,10,0x1a
0x5b,0.000954085092624856,13541,230197,6,11,0xbf
0xa5,0.000954085092624856,13541,230197,6,11,0xbf
0x66,0.0009535527687745143,13549,230333,10,6,0x99
0xd1,0.0009535527687745143,13549,230333,10,6,0x99
0x7d,0.0009515430585013074,13577,230809,2,9,0xb8
0xee,0.0009515430585013074,13577,230809,2,9,0xb8
0x97,0.0009514793275036494,13578,230826,5,6,0x2d
0xc6,0.0009514793275036494,13578,230826,5,6,0x2d
0x46,0.0009510570106182815,13584,230928,6,15,0x01
0xef,0.0009510570106182815,13584,230928,6,15,0x01
0x24,0.0009497286338269516,13603,231251,14,1,0xd0
0x6f,0.0009497286338269516,13603,231251,14,1,0xd0
0xeb,0.0009496717669443823,13604,231268,5,3,0x11
0xec,0.0009496717669443823,13604,231268,5,3,0x11
0x1c,0.0009487820914836478,13617,231489,7,2,0x2b
0xb1,0.0009487820914836478,13617,231489,7,2,0x2b
0x0b,0.0009469606900452639,13643,231931,10,0,0xf6
0x65,0.0009469606900452639,13643,231931,10,0,0xf6
0x74,0.0009462966214476218,13653,232101,1,6,0xd5
0x78,0.0009462966214476218,13653,232101,1,6,0xd5
0x0e,0.000946214899023782,13654,232118,13,5,0x02
0xa1,0.000946214899023782,13654,232118,13,5,0x02
0x2a,0.0009460822162909582,13656,232152,2,4,0x6b
0x3b,0.0009460822162909582,13656,232152,2,4,0x6b
0x4c,0.0009455137502733204,13664,232288,0,1,0x6e
0xe6,0.0009455137502733204,13664,232288,0,1,0x6e
0x07,0.000945463422879201,13665,232305,14,13,0x64
0x81,0.000945463422879201,13665,232305,14,13,0x64
0xba,0.000945291164333204,13667,232339,10,9,0x0f
0xf5,0.000945291164333204,13667,232339,10,9,0x0f
0x13,0.0009450137399407402,13671,232407,9,8,0x6c
0x1e,0.0009450137399407402,13671,232407,9,8,0x6c
0x38,0.0009443297468934494,13681,232577,8,11,0xef
0xb9,0.0009443297468934494,13681,232577,8,11,0xef
0x2e,0.0009438984464700758,13687,232679,10,9,0x0f
0xf9,0.0009438984464700758,13687,232679,10,9,0x0f
0x75,0.0009431634200175349,13698,232866,6,4,0x02
0xc4,0.0009431634200175349,13698,232866,6,4,0x02
0x30,0.0009425373414475783,13707,233019,14,13,0x64
0xb3,0.0009425666587752137,13707,233019,7,1,0x9c
0xb6,0.0009425666587752137,13707,233019,7,1,0x9c
0xd2,0.0009425373414475783,13707,233019,14,13,0x64
0x51,0.0009424285663306325,13709,233053,0,2,0xa2
0xab,0.0009424285663306325,13709,233053,0,2,0xa2
0x4e,0.000942321214759453,13710,233070,12,13,0xdf
0x50,0.000942321214759453,13710,233070,12,13,0xdf
0x95,0.0009421850629763426,13712,233104,0,8,0xb8
0xc9,0.0009421850629763426,13712,233104,0,8,0xb8
0x54,0.0009419714786895084,13715,233155,15,5,0x48
0xfc,0.0009419714786895084,13715,233155,15,5,0x48
0x44,0.000941598248038684,13721,233257,8,4,0x8d
0x58,0.000941598248038684,13721,233257,8,4,0x8d
0x06,0.0009412728727309982,13726,233342,11,1,0x2d
0x5f,0.0009412728727309982,13726,233342,11,1,0x2d
0x42,0.0009411154397281342,13728,233376,6,15,0x01
0x52,0.0009411037729508154,13728,233376,11,0,0xa9
0x7a,0.0009411154397281342,13728,233376,6,15,0x01
0xcf,0.0009411037729508154,13728,233376,11,0,0xa9
0x3d,0.0009410559494623329,13729,233393,7,6,0xe7
0x84,0.0009410559494623329,13729,233393,7,6,0xe7
0x9b,0.0009410449389835332,13729,233393,14,14,0xa5
0xb7,0.0009410449389835332,13729,233393,14,14,0xa5
0xc2,0.0009406283127005052,13735,233495,8,9,0x08
0xf8,0.0009406283127005052,13735,233495,8,9,0x08
0x0f,0.0009404631247893037,13737,233529,3,11,0x30
0x26,0.0009404631247893037,13737,233529,3,11,0x30
0xa6,0.0009403187457498814,13739,233563,5,5,0xbc
0xe7,0.0009403187457498814,13739,233563,5,5,0xbc
0x34,0.0009400813120359866,13743,233631,4,3,0x1c
0x64,0.0009400813120359866,13743,233631,4,3,0x1c
0x1d,0.0009399217972698055,13745,233665,8,0,0x0a
0x23,0.0009399217972698055,13745,233665,8,0,0x0a
0xaf,0.0009394273705445454,13753,233801,0,12,0x10
0xb8,0.0009394273705445454,13753,233801,0,12,0x10
0xcb,0.0009388944999565589,13760,233920,11,6,0x78
0xff,0.0009388944999565589,13760,233920,11,6,0x78
0x6b,0.0009387215798240284,13763,233971,15,14,0x94
0x90,0.0009387215798240284,13763,233971,15,14,0x94
0x29,0.0009382012601121515,13770,234090,3,14,0x96
0x5d,0.0009382012601121515,13770,234090,3,14,0x96
0x83,0.0009381785835020058,13771,234107,0,14,0x84
0xf2,0.0009381785835020058,13771,234107,0,14,0x84
0x0a,0.0009379385889103776,13774,234158,1,8,0x49
0x35,0.0009379385889103776,13774,234158,1,8,0x49
0x25,0.0009376680268848105,13778,234226,5,8,0x8d
0x6c,0.0009376680268848105,13778,234226,5,8,0x8d
0xd7,0.0009372351049877387,13785,234345,14,6,0x16
0xdc,0.0009372351049877387,13785,234345,14,6,0x16
0x55,0.0009369882056324551,13788,234396,14,14,0xa5
0x9e,0.0009369882056324551,13788,234396,14,14,0xa5
0x33,0.0009365841040468543,13794,234498,0,15,0x94
0x61,0.0009365841040468543,13794,234498,0,15,0x94
0x37,0.000936548107672594,13795,234515,1,5,0x76
0xda,0.000936548107672594,13795,234515,1,5,0x76
0x36,0.0009362133281615947,13800,234600,2,10,0xbe
0x4a,0.0009362133281615947,13800,234600,2,10,0xbe
0xd4,0.0009357866530624321,13806,234702,6,8,0xab
0xe3,0.0009357866530624321,13806,234702,6,8,0xab
0x12,0.000935652704692542,13808,234736,11,15,0x10
0x28,0.0009356221528412175,13808,234736,13,7,0x2a
0x9c,0.0009356221528412175,13808,234736,13,7,0x2a
0xde,0.000935652704692542,13808,234736,11,15,0x10
0x0c,0.0009355131653195001,13810,234770,11,3,0x49
0xce,0.0009355131653195001,13810,234770,11,3,0x49
0x08,0.0009353435101690965,13813,234821,9,14,0xb4
0xa9,0.0009353435101690965,13813,234821,9,14,0xb4
0x4d,0.0009352293792284989,13814,234838,0,2,0xa2
0xa7,0.0009352293792284989,13814,234838,0,2,0xa2
0xe5,0.0009352583943098027,13814,234838,3,12,0xd9
0xfe,0.0009352583943098027,13814,234838,3,12,0xd9
0x18,0.0009344531833716582,13826,235042,2,2,0x87
0x67,0.0009344531833716582,13826,235042,2,2,0x87
0x63,0.0009342733038706843,13828,235076,5,9,0x12
0xed,0.0009342733038706843,13828,235076,5,9,0x12
0x0d,0.000934035749232839,13832,235144,0,9,0x5d
0x1f,0.0009340176845681378,13832,235144,13,7,0x2a
0x53,0.000934035749232839,13832,235144,0,9,0x5d
0xdf,0.0009340176845681378,13832,235144,13,7,0x2a
0x73,0.00093295907173195,13848,235416,3,6,0x17
0x98,0.00093295907173195,13848,235416,3,6,0x17
0x1b,0.000932604592479431,13853,235501,2,15,0x85
0x86,0.000932646479114049,13853,235501,1,0,0x98
0x94,0.000932604592479431,13853,235501,2,15,0x85
0xa4,0.000932646479114049,13853,235501,1,0,0x98
0x43,0.0009322749446501512,13858,235586,12,0,0xea
0x8b,0.0009322749446501512,13858,235586,12,0,0xea
0xca,0.0009321294451090534,13860,235620,8,15,0x01
0xe4,0.0009321294451090534,13860,235620,8,15,0x01
0x2b,0.0009316888129830139,13867,235739,0,10,0x27
0xf1,0.0009316888129830139,13867,235739,0,10,0x27
0x3e,0.0009316260676237416,13868,235756,1,10,0x9f
0x8e,0.0009316260676237416,13868,235756,1,10,0x9f
0x5c,0.0009313898384393481,13871,235807,3,4,0xca
0x9d,0.0009313898384393481,13871,235807,3,4,0xca
0x27,0.0009309283283489782,13878,235926,4,11,0xe9
0xa0,0.0009309283283489782,13878,235926,4,11,0xe9
0x85,0.000930787216770173,13880,235960,0,2,0xa2
0xe9,0.000930787216770173,13880,235960,0,2,0xa2
0x5a,0.0009306879848607367,13882,235994,2,13,0x75
0x87,0.0009306879848607367,13882,235994,2,13,0x75
0x5e,0.0009299968606254995,13892,236164,5,12,0x94
0x80,0.0009299968606254995,13892,236164,5,12,0x94
0x47,0.0009298774890287611,13894,236198,12,13,0xdf
0x7c,0.0009298774890287611,13894,236198,12,13,0xdf
0x8f,0.0009297604548788303,13896,236232,2,2,0x87
0x92,0.0009297604548788303,13896,236232,2,2,0x87
0xa2,0.0009294948441290962,13899,236283,1,4,0xf2
0xb4,0.0009294948441290962,13899,236283,1,4,0xf2
0x79,0.0009291249198545345,13905,236385,9,12,0xff
0xc5,0.0009291249198545345,13905,236385,9,12,0xff
0x77,0.0009287338624676974,13911,236487,4,11,0xe9
0xfa,0.0009287338624676974,13911,236487,4,11,0xe9
0x89,0.0009286292872325638,13912,236504,13,14,0x3c
0xcc,0.0009286292872325638,13912,236504,13,14,0x3c
0x6d,0.0009282007116357195,13919,236623,14,15,0x94
0x6e,0.0009282007116357195,13919,236623,14,15,0x94
0x21,0.0009280676712557945,13921,236657,12,1,0x86
0xf4,0.0009280676712557945,13921,236657,12,1,0x86
0x57,0.0009279692721269762,13922,236674,2,5,0xec
0x72,0.0009279692721269762,13922,236674,2,5,0xec
0x15,0.0009274836364717176,13930,236810,2,5,0xec
0x76,0.0009274836364717176,13930,236810,2,5,0xec
0x7b,0.0009274854386958507,13930,236810,11,15,0x10
0x8a,0.0009274854386958507,13930,236810,11,15,0x10
0xd8,0.0009270823694073069,13936,236912,4,3,0x1c
0xf3,0.0009270823694073069,13936,236912,4,3,0x1c
0xc1,0.0009269800843543425,13937,236929,8,8,0x09
0xe2,0.0009269800843543425,13937,236929,8,8,0x09
0x45,0.0009266332417118957,13942,237014,10,11,0xec
0xf6,0.0009266332417118957,13942,237014,10,11,0xec
0x7e,0.0009264271132493263,13945,237065,11,5,0x58
0xa8,0.0009264271132493263,13945,237065,11,5,0x58
0x2c,0.0009263348760077902,13947,237099,4,3,0x1c
0x88,0.0009263348760077902,13947,237099,4,3,0x1c
0x49,0.0009262817214238423,13948,237116,5,6,0x2d
0xdd,0.0009262817214238423,13948,237116,5,6,0x2d
0x1a,0.0009260156965405165,13952,237184,13,7,0x2a
0xc8,0.0009260156965405165,13952,237184,13,7,0x2a
0xac,0.0009257132218473469,13956,237252,13,9,0xc8
0xad,0.0009257132218473469,13956,237252,13,9,0xc8
0x32,0.0009254304676876896,13961,237337,10,14,0x8d
0x68,0.0009254304676876896,13961,237337,10,14,0x8d
0x11,0.0009252765584418826,13963,237371,1,6,0xd5
0x8d,0.0009252769271515522,13963,237371,2,4,0x6b
0xa3,0.0009252765584418826,13963,237371,1,6,0xd5
0xc7,0.0009252769271515522,13963,237371,2,4,0x6b
0x14,0.00092476773165443,13971,237507,11,6,0x78
0xfb,0.00092476773165443,13971,237507,11,6,0x78
0x41,0.0009246846965858918,13972,237524,6,8,0xab
0x71,0.0009246846965858918,13972,237524,6,8,0xab
0x39,0.0009245188364123911,13974,237558,5,5,0xbc
0xae,0.0009245188364123911,13974,237558,5,5,0xbc
0x16,0.0009243629545548856,13977,237609,11,6,0x78
0xd3,0.0009243629545548856,13977,237609,11,6,0x78
0x9f,0.0009238800300504643,13984,237728,8,13,0x30
0xfd,0.0009238800300504643,13984,237728,8,13,0x30
0x2d,0.0009230993190998683,13996,237932,12,11,0x7f
0xcd,0.0009230993190998683,13996,237932,12,11,0x7f
0x9a,0.0009210701220665773,14027,238459,0,6,0x48
0xb2,0.0009210701220665773,14027,238459,0,6,0x48
0x2f,0.0009191916920029601,14055,238935,9,14,0xb4
0xc3,0.0009191916920029601,14055,238935,9,14,0xb4
0x20,0.0009185646587086442,14065,239105,11,2,0x6b
0xbb,0.0009185646587086442,14065,239105,11,2,0x6b
0x3a,0.0009164839562950404,14097,239649,8,8,0x09
0x56,0.0009164538625404776,14097,239649,14,5,0xc3
0x82,0.0009164486703326726,14097,239649,2,9,0xb8
0x99,0.0009164538625404776,14097,239649,14,5,0xc3
0xd9,0.0009164486703326726,14097,239649,2,9,0xb8
0xf0,0.0009164839562950404,14097,239649,8,8,0x09
0x3f,0.0009160683914160588,14103,239751,8,5,0xa3
0x93,0.0009160683914160588,14103,239751,8,5,0xa3
0x09,0.0009147229571289289,14124,240108,3,3,0x0c
0x7f,0.0009147229571289289,14124,240108,3,3,0x0c
0xc0,0.0009129755557170867,14151,240567,11,1,0x2d
0xd5,0.0009129755557170867,14151,240567,11,1,0x2d
0x70,0.0009114910681556045,14174,240958,9,3,0xd7
0xbd,0.0009114910681556045,14174,240958,9,3,0xd7
0x3c,0.0009109191988340333,14183,241111,11,15,0x10
0xe8,0.0009109191988340333,14183,241111,11,15,0x10
0x40,0.0009105671938875702,14188,241196,1,6,0xd5
0xbc,0.0009105671938875702,14188,241196,1,6,0xd5
0x60,0.0009043713953606217,14286,242862,10,9,0x0f
0x69,0.0009043713953606217,14286,242862,10,9,0x0f
0xbf,0.0009026328169302448,14313,243321,11,5,0x58
0xe0,0.0009026328169302448,14313,243321,11,5,0x58
0x48,0.0008981722630239515,14384,244528,14,0,0x4d
0xd6,0.0008981722630239515,14384,244528,14,0,0x4d
0x59,0.000889906511197725,14518,246806,10,6,0x99
0xf7,0.000889906511197725,14518,246806,10,6,0x99
0x03,0.0008877345476826097,14553,247401,12,3,0x07
0xbe,0.0008877345476826097,14553,247401,12,3,0x07
0x02,0.0008609091099953834,15007,255119,6,14,0x6f
0xe1,0.0008609091099953834,15007,255119,6,14,0x6f
