c,inverse,worst_Dmin_across_bytes,stage1_error_budget,samples_per_byte,chosen_plaintext_pairs,chosen_plaintext_queries,worst_j,selected_i,coef
0x4f,0xaa,0.0009804812801911173,0.005,13884,222144,236028,12,10,0xc6
0xaa,0x4f,0.0009804812801911173,0.005,13884,222144,236028,12,10,0xc6
0x62,0xea,0.000965510032378501,0.005,14099,225584,239683,7,10,0xc9
0xea,0x62,0.000965510032378501,0.005,14099,225584,239683,7,10,0xc9
0x04,0x91,0.0009642779371385676,0.005,14117,225872,239989,5,5,0xbc
0x91,0x04,0.0009642779371385676,0.005,14117,225872,239989,5,5,0xbc
0x19,0xd0,0.0009630881394332373,0.005,14134,226144,240278,7,8,0x49
0xd0,0x19,0.0009630881394332373,0.005,14134,226144,240278,7,8,0x49
0x8c,0x96,0.0009613752634006548,0.005,14160,226560,240720,1,13,0x99
0x96,0x8c,0.0009613752634006548,0.005,14160,226560,240720,1,13,0x99
0x17,0x31,0.0009611547147109686,0.005,14163,226608,240771,9,6,0xeb
0x31,0x17,0.0009611547147109686,0.005,14163,226608,240771,9,6,0xeb
0x22,0xb0,0.0009609541145790685,0.005,14166,226656,240822,12,14,0x44
0xb0,0x22,0.0009609541145790685,0.005,14166,226656,240822,12,14,0x44
0x10,0xb5,0.0009581648550402886,0.005,14207,227312,241519,11,11,0x91
0xb5,0x10,0.0009581648550402886,0.005,14207,227312,241519,11,11,0x91
0x05,0x6a,0.000956752762162399,0.005,14228,227648,241876,2,4,0x6b
0x6a,0x05,0.000956752762162399,0.005,14228,227648,241876,2,4,0x6b
0x4b,0xdb,0.0009564215315789072,0.005,14233,227728,241961,4,10,0x1a
0xdb,0x4b,0.0009564215315789072,0.005,14233,227728,241961,4,10,0x1a
0x5b,0xa5,0.000954085092624856,0.005,14268,228288,242556,6,11,0xbf
0xa5,0x5b,0.000954085092624856,0.005,14268,228288,242556,6,11,0xbf
0x66,0xd1,0.0009535527687745143,0.005,14276,228416,242692,10,6,0x99
0xd1,0x66,0.0009535527687745143,0.005,14276,228416,242692,10,6,0x99
0x7d,0xee,0.0009515430585013074,0.005,14306,228896,243202,2,9,0xb8
0xee,0x7d,0.0009515430585013074,0.005,14306,228896,243202,2,9,0xb8
0x97,0xc6,0.0009514793275036494,0.005,14307,228912,243219,5,6,0x2d
0xc6,0x97,0.0009514793275036494,0.005,14307,228912,243219,5,6,0x2d
0x46,0xef,0.0009510570106182815,0.005,14313,229008,243321,6,15,0x01
0xef,0x46,0.0009510570106182815,0.005,14313,229008,243321,6,15,0x01
0x24,0x6f,0.0009497286338269516,0.005,14333,229328,243661,14,1,0xd0
0x6f,0x24,0.0009497286338269516,0.005,14333,229328,243661,14,1,0xd0
0xeb,0xec,0.0009496717669443823,0.005,14334,229344,243678,5,3,0x11
0xec,0xeb,0.0009496717669443823,0.005,14334,229344,243678,5,3,0x11
0x1c,0xb1,0.0009487820914836478,0.005,14347,229552,243899,7,2,0x2b
0xb1,0x1c,0.0009487820914836478,0.005,14347,229552,243899,7,2,0x2b
0x0b,0x65,0.0009469606900452639,0.005,14375,230000,244375,10,0,0xf6
0x65,0x0b,0.0009469606900452639,0.005,14375,230000,244375,10,0,0xf6
0x74,0x78,0.0009462966214476218,0.005,14385,230160,244545,1,6,0xd5
0x78,0x74,0.0009462966214476218,0.005,14385,230160,244545,1,6,0xd5
0x0e,0xa1,0.000946214899023782,0.005,14386,230176,244562,13,5,0x02
0xa1,0x0e,0.000946214899023782,0.005,14386,230176,244562,13,5,0x02
0x2a,0x3b,0.0009460822162909582,0.005,14388,230208,244596,2,4,0x6b
0x3b,0x2a,0.0009460822162909582,0.005,14388,230208,244596,2,4,0x6b
0x4c,0xe6,0.0009455137502733204,0.005,14397,230352,244749,0,1,0x6e
0xe6,0x4c,0.0009455137502733204,0.005,14397,230352,244749,0,1,0x6e
0x07,0x81,0.000945463422879201,0.005,14398,230368,244766,14,13,0x64
0x81,0x07,0.000945463422879201,0.005,14398,230368,244766,14,13,0x64
0xba,0xf5,0.000945291164333204,0.005,14400,230400,244800,10,9,0x0f
0xf5,0xba,0.000945291164333204,0.005,14400,230400,244800,10,9,0x0f
0x13,0x1e,0.0009450137399407402,0.005,14405,230480,244885,9,8,0x6c
0x1e,0x13,0.0009450137399407402,0.005,14405,230480,244885,9,8,0x6c
0x38,0xb9,0.0009443297468934494,0.005,14415,230640,245055,8,11,0xef
0xb9,0x38,0.0009443297468934494,0.005,14415,230640,245055,8,11,0xef
0x2e,0xf9,0.0009438984464700758,0.005,14422,230752,245174,10,9,0x0f
0xf9,0x2e,0.0009438984464700758,0.005,14422,230752,245174,10,9,0x0f
0x75,0xc4,0.0009431634200175349,0.005,14433,230928,245361,6,4,0x02
0xc4,0x75,0.0009431634200175349,0.005,14433,230928,245361,6,4,0x02
0xb3,0xb6,0.0009425666587752137,0.005,14442,231072,245514,7,1,0x9c
0xb6,0xb3,0.0009425666587752137,0.005,14442,231072,245514,7,1,0x9c
