c,b,E_cb
0x01,0x00,65536
0x01,0x01,712
0x01,0x02,512
0x01,0x03,672
0x01,0x04,584
0x01,0x05,648
0x01,0x06,704
0x01,0x07,704
0x01,0x08,728
0x01,0x09,800
0x01,0x0a,712
0x01,0x0b,680
0x01,0x0c,776
0x01,0x0d,728
0x01,0x0e,752
0x01,0x0f,776
0x01,0x10,640
0x01,0x11,688
0x01,0x12,584
0x01,0x13,696
0x01,0x14,512
0x01,0x15,712
0x01,0x16,536
0x01,0x17,640
0x01,0x18,576
0x01,0x19,784
0x01,0x1a,688
0x01,0x1b,688
0x01,0x1c,656
0x01,0x1d,688
0x01,0x1e,672
0x01,0x1f,672
0x01,0x20,704
0x01,0x21,688
0x01,0x22,512
0x01,0x23,696
0x01,0x24,584
0x01,0x25,688
0x01,0x26,584
0x01,0x27,720
0x01,0x28,792
0x01,0x29,736
0x01,0x2a,696
0x01,0x2b,704
0x01,0x2c,832
0x01,0x2d,760
0x01,0x2e,696
0x01,0x2f,624
0x01,0x30,584
0x01,0x31,672
0x01,0x32,640
0x01,0x33,696
0x01,0x34,512
0x01,0x35,688
0x01,0x36,536
0x01,0x37,744
0x01,0x38,736
0x01,0x39,784
0x01,0x3a,640
0x01,0x3b,784
0x01,0x3c,664
0x01,0x3d,656
0x01,0x3e,704
0x01,0x3f,784
0x01,0x40,680
0x01,0x41,752
0x01,0x42,720
0x01,0x43,688
0x01,0x44,800
0x01,0x45,576
0x01,0x46,672
0x01,0x47,752
0x01,0x48,640
0x01,0x49,680
0x01,0x4a,688
0x01,0x4b,680
0x01,0x4c,688
0x01,0x4d,608
0x01,0x4e,744
0x01,0x4f,680
0x01,0x50,664
0x01,0x51,696
0x01,0x52,680
0x01,0x53,720
0x01,0x54,688
0x01,0x55,712
0x01,0x56,656
0x01,0x57,696
0x01,0x58,736
0x01,0x59,736
0x01,0x5a,704
0x01,0x5b,704
0x01,0x5c,632
0x01,0x5d,616
0x01,0x5e,776
0x01,0x5f,688
0x01,0x60,648
0x01,0x61,704
0x01,0x62,672
0x01,0x63,776
0x01,0x64,744
0x01,0x65,696
0x01,0x66,800
0x01,0x67,744
0x01,0x68,744
0x01,0x69,632
0x01,0x6a,752
0x01,0x6b,728
0x01,0x6c,760
0x01,0x6d,688
0x01,0x6e,656
0x01,0x6f,704
0x01,0x70,752
0x01,0x71,656
0x01,0x72,648
0x01,0x73,656
0x01,0x74,680
0x01,0x75,688
0x01,0x76,744
0x01,0x77,736
0x01,0x78,664
0x01,0x79,688
0x01,0x7a,648
0x01,0x7b,704
0x01,0x7c,720
0x01,0x7d,632
0x01,0x7e,728
0x01,0x7f,648
0x01,0x80,624
0x01,0x81,720
0x01,0x82,640
0x01,0x83,800
0x01,0x84,720
0x01,0x85,832
0x01,0x86,680
0x01,0x87,656
0x01,0x88,688
0x01,0x89,704
0x01,0x8a,664
0x01,0x8b,800
0x01,0x8c,640
0x01,0x8d,752
0x01,0x8e,680
0x01,0x8f,800
0x01,0x90,752
0x01,0x91,696
0x01,0x92,832
0x01,0x93,688
0x01,0x94,672
0x01,0x95,680
0x01,0x96,680
0x01,0x97,736
0x01,0x98,720
0x01,0x99,848
0x01,0x9a,752
0x01,0x9b,648
0x01,0x9c,768
0x01,0x9d,664
0x01,0x9e,712
0x01,0x9f,680
0x01,0xa0,656
0x01,0xa1,736
0x01,0xa2,584
0x01,0xa3,592
0x01,0xa4,672
0x01,0xa5,784
0x01,0xa6,656
0x01,0xa7,720
