lambda,hidden_peak_h,hidden_peak_b
0x01,256,0x00
0x02,120,0x12
0x03,32,0xa2
0x04,120,0x26
0x05,24,0xc5
0x06,24,0xa8
0x07,13,0xd5
0x08,60,0x34
0x09,24,0xbe
0x0a,48,0xd7
0x0b,64,0x92
0x0c,16,0x84
0x0d,24,0xb5
0x0e,12,0x51
0x0f,12,0x67
0x10,120,0x24
0x11,24,0xb5
0x12,13,0xe9
0x13,30,0x32
0x14,24,0xc5
0x15,16,0x37
0x16,32,0x80
0x17,16,0x17
0x18,12,0x8e
0x19,12,0x47
0x1a,12,0xa5
0x1b,60,0x22
0x1c,24,0xf3
0x1d,120,0x30
0x1e,24,0x75
0x1f,16,0x03
0x20,60,0x36
0x21,32,0x27
0x22,24,0x81
0x23,24,0xf3
0x24,24,0xbc
0x25,24,0xbe
0x26,32,0xb4
0x27,25,0xcf
0x28,25,0xf1
0x29,12,0x85
0x2a,16,0x03
0x2b,13,0xac
0x2c,32,0xb4
0x2d,32,0x80
0x2e,16,0x03
0x2f,24,0x57
0x30,16,0x86
0x31,12,0x47
0x32,13,0xc1
0x33,16,0x03
0x34,24,0xb7
0x35,13,0xae
0x36,60,0x02
0x37,24,0x63
0x38,12,0xe1
0x39,24,0x81
0x3a,60,0x22
0x3b,32,0x13
0x3c,24,0xe6
0x3d,16,0x84
0x3e,16,0x37
0x3f,24,0xf2
0x40,60,0x02
0x41,24,0x61
0x42,17,0x37
0x43,24,0xb7
0x44,48,0x93
0x45,48,0x98
0x46,12,0xe1
0x47,120,0x26
0x48,16,0x86
0x49,24,0x81
0x4a,13,0xac
0x4b,24,0x75
0x4c,32,0x80
0x4d,24,0xa3
0x4e,48,0x98
0x4f,64,0x01
0x50,12,0xe1
0x51,24,0xf3
0x52,17,0x15
0x53,24,0xf1
0x54,16,0x23
0x55,12,0xa5
0x56,24,0xbe
0x57,24,0x63
0x58,30,0x32
0x59,12,0xc1
0x5a,32,0xb4
0x5b,12,0x85
0x5c,17,0x15
0x5d,12,0x51
0x5e,24,0x63
0x5f,24,0x61
0x60,24,0xbc
0x61,24,0x63
0x62,12,0x73
0x63,12,0x85
0x64,24,0x75
0x65,24,0x61
0x66,16,0x17
0x67,24,0xa3
0x68,17,0x15
0x69,12,0x53
0x6a,12,0x8e
0x6b,24,0xc4
0x6c,60,0x36
0x6d,17,0x37
0x6e,24,0x57
0x6f,13,0xc1
0x70,25,0xf1
0x71,24,0xa3
0x72,24,0xb5
0x73,12,0x85
0x74,60,0x16
0x75,32,0xb6
0x76,32,0x27
0x77,24,0xe7
0x78,12,0x53
0x79,24,0xe7
0x7a,24,0xa8
0x7b,24,0xf0
0x7c,33,0x25
0x7d,60,0x14
0x7e,12,0xe0
0x7f,24,0xf0
0x80,60,0x22
0x81,16,0x23
0x82,12,0x73
0x83,120,0x30
0x84,33,0x25
0x85,32,0x31
0x86,12,0xa5
0x87,32,0xb6
0x88,24,0x81
0x89,12,0x47
0x8a,25,0xcf
0x8b,32,0x80
0x8c,24,0xf1
0x8d,12,0x53
0x8e,120,0x12
0x8f,16,0xb0
0x90,12,0x8e
0x91,12,0x87
0x92,48,0x93
0x93,64,0x01
0x94,24,0xbc
0x95,12,0x71
0x96,12,0x67
0x97,17,0x15
0x98,64,0x92
0x99,48,0x45
0x9a,16,0x17
0x9b,24,0xbc
0x9c,25,0x8a
0x9d,24,0xbe
0x9e,32,0x13
0x9f,12,0x8c
0xa0,24,0xf3
0xa1,12,0x73
0xa2,12,0x8c
0xa3,12,0xc0
0xa4,24,0xb7
0xa5,24,0x57
0xa6,12,0xe1
0xa7,24,0xc5
0xa8,32,0x31
0xa9,32,0x13
0xaa,24,0xb5
0xab,24,0xe6
0xac,25,0x8a
0xad,60,0x34
0xae,12,0x71
0xaf,12,0xa5
0xb0,32,0xb6
0xb1,24,0xc4
0xb2,12,0x8e
0xb3,24,0xc4
0xb4,16,0xa4
0xb5,24,0xa8
0xb6,24,0xe6
0xb7,12,0xa5
0xb8,33,0x25
0xb9,24,0x75
0xba,13,0xd5
0xbb,24,0xf0
0xbc,12,0x71
0xbd,16,0x17
0xbe,12,0x71
0xbf,24,0xe6
0xc0,13,0xe9
0xc1,12,0xc1
0xc2,24,0x57
0xc3,13,0xae
0xc4,24,0x61
0xc5,33,0x25
0xc6,12,0xc0
0xc7,32,0x13
0xc8,24,0xe7
0xc9,16,0x84
0xca,12,0x73
0xcb,32,0xb4
0xcc,32,0x31
0xcd,60,0x14
0xce,32,0x31
0xcf,60,0x22
0xd0,12,0x85
0xd1,24,0xa3
0xd2,24,0xe7
0xd3,12,0xe0
0xd4,12,0xba
0xd5,24,0xb7
0xd6,48,0xd6
0xd7,48,0xd6
0xd8,120,0x24
0xd9,12,0x85
0xda,32,0x27
0xdb,12,0x53
0xdc,48,0x45
0xdd,48,0xd7
0xde,12,0x47
0xdf,12,0x87
0xe0,24,0xc5
0xe1,24,0xf2
0xe2,12,0xb1
0xe3,12,0xc0
0xe4,12,0xa5
0xe5,24,0xc4
