c,inverse,delta_full,energy,pearson_key_output,mutual_information_bits,transfer_bound_B,best_hidden_lambda,disagreement_rank,hidden_peak_h,hidden_peak_b
0x01,0x01,256,242968,2.7073974609375,1.3650259414965997,256,0x01,0,256,0x00
0x02,0xe1,64,145324,1.21746826171875,0.8876639250594418,60,0x02,1,120,0x12
0x03,0xbe,21,130792,0.9957275390625,0.8166197441576213,16,0x03,1,32,0xa2
0x04,0x91,33,138108,1.10736083984375,0.8584804842393027,30,0x04,2,120,0x26
0x05,0x6a,9,131292,1.00335693359375,0.826904181396486,6,0x05,2,24,0xc5
0x06,0x5f,10,131160,1.0013427734375,0.8246651018070592,6,0x06,2,24,0xa8
0x07,0x81,8,131332,1.00396728515625,0.8271952265368443,4,0x07,2,13,0xd5
0x08,0xa9,13,131640,1.0086669921875,0.8266058038126343,8,0x08,3,60,0x34
0x09,0x7f,8,130076,0.98480224609375,0.8149511671639289,3,0x09,3,24,0xbe
0x0a,0x35,13,131524,1.00689697265625,0.8239990673123863,6,0x0a,3,48,0xd7
0x0b,0x65,11,132200,1.0172119140625,0.8314952722958278,8,0x0b,3,64,0x92
0x0c,0xce,8,130736,0.994873046875,0.8225836307766748,2,0x0c,3,16,0x84
0x0d,0x53,7,129532,0.97650146484375,0.813388392041184,3,0x0d,3,24,0xb5
0x0e,0xa1,7,131360,1.00439453125,0.8268890517340669,2,0x08,5,60,0x34
0x0f,0x26,8,130160,0.986083984375,0.8181993807431218,2,0x0f,3,12,0x67
0x10,0xb5,11,132320,1.01904296875,0.8325162225362098,8,0x10,4,120,0x24
0x11,0xa3,7,129912,0.9822998046875,0.8144512963208087,2,0x11,4,24,0xb5
0x12,0xde,8,129524,0.97637939453125,0.8109715125162735,4,0xcf,4,60,0x22
0x13,0x1e,7,130608,0.992919921875,0.8233877019580161,2,0x04,6,120,0x26
0x14,0xfb,9,131060,0.99981689453125,0.8244906744841412,4,0x83,5,120,0x30
0x15,0x76,9,130548,0.99200439453125,0.8175456324884022,4,0x3a,4,60,0x22
0x16,0xd3,7,130452,0.99053955078125,0.8203458018997619,2,0x0a,5,48,0xd7
0x17,0x31,8,131396,1.00494384765625,0.8292940585460866,4,0x80,4,60,0x22
0x18,0x67,8,130428,0.99017333984375,0.8209732411763879,2,0x60,4,24,0xbc
0x19,0xd0,7,130744,0.9949951171875,0.8229918360919138,4,0xd8,5,120,0x24
0x1a,0xc8,7,129424,0.974853515625,0.8104049007998061,2,0x0b,5,64,0x92
0x1b,0x94,8,131436,1.00555419921875,0.8290225710379612,4,0x1b,4,60,0x22
0x1c,0xb1,8,131680,1.00927734375,0.8297662561413046,2,0x10,6,120,0x24
0x1d,0x23,12,130872,0.9969482421875,0.8182537981226712,8,0x1d,4,120,0x30
0x1e,0x13,7,130608,0.992919921875,0.8233877019580162,2,0x1e,4,24,0x75
0x1f,0xdf,8,130404,0.98980712890625,0.8186121501066189,2,0x84,5,33,0x25
0x20,0xbb,9,129812,0.98077392578125,0.8149572959960789,3,0xe7,3,24,0xf2
0x21,0xf4,8,129760,0.97998046875,0.815070067624751,2,0xe6,3,12,0xb1
0x22,0xb0,8,130928,0.997802734375,0.8234751773570562,2,0x84,5,33,0x25
0x23,0x1d,12,130872,0.9969482421875,0.8182537981226711,8,0x83,4,120,0x30
0x24,0x6f,13,131716,1.00982666015625,0.8285188154138902,8,0x83,4,120,0x30
0x25,0x6c,7,129708,0.97918701171875,0.8125969011325209,2,0x0b,5,64,0x92
0x26,0x0f,8,130160,0.986083984375,0.8181993807431219,2,0x10,6,120,0x24
0x27,0xa0,7,130380,0.98944091796875,0.8218682267772144,3,0x97,3,17,0x15
0x28,0x9c,8,130348,0.98895263671875,0.8192778247420168,4,0xda,3,32,0x27
0x29,0x5d,9,130924,0.99774169921875,0.8240773614817859,2,0x04,6,120,0x26
0x2a,0x3b,11,132100,1.01568603515625,0.8290317274378171,8,0xd8,4,120,0x24
0x2b,0xf1,8,129468,0.97552490234375,0.8120836914715881,2,0x75,4,32,0xb6
0x2c,0x88,8,129768,0.9801025390625,0.8141602891960839,2,0x14,4,24,0xc5
0x2d,0xcd,7,129292,0.97283935546875,0.8074676956850795,2,0x04,6,120,0x26
0x2e,0xf9,8,131144,1.0010986328125,0.824259691742919,4,0x1d,5,120,0x30
0x2f,0xc3,9,129644,0.97821044921875,0.8121930905852098,3,0xb3,3,24,0xc4
0x30,0xd2,7,130732,0.99481201171875,0.8200730605195053,4,0xd8,5,120,0x24
0x31,0x17,8,131396,1.00494384765625,0.8292940585460866,4,0x1b,4,60,0x22
0x32,0x68,8,130228,0.98712158203125,0.8172865127456008,3,0xc2,3,24,0x57
0x33,0x61,7,130032,0.984130859375,0.8167682686668448,2,0x10,6,120,0x24
0x34,0x64,11,131284,1.00323486328125,0.8255111758473798,6,0xdc,3,48,0x45
0x35,0x0a,13,131524,1.00689697265625,0.8239990673123863,6,0xdd,3,48,0xd7
0x36,0x4a,8,131244,1.00262451171875,0.8265757977366215,2,0x10,6,120,0x24
0x37,0xda,7,129628,0.97796630859375,0.8112609178013065,2,0x1d,6,120,0x30
0x38,0xb9,8,130068,0.98468017578125,0.8159647917590859,2,0xea,3,16,0xa4
0x39,0xae,8,130392,0.9896240234375,0.8178647139576732,2,0x08,5,60,0x34
0x3a,0xf0,9,129208,0.9715576171875,0.8077307431089402,2,0x11,4,24,0xb5
0x3b,0x2a,11,132100,1.01568603515625,0.8290317274378172,8,0x10,4,120,0x24
0x3c,0xe8,8,129444,0.97515869140625,0.8110991742147462,2,0x4d,4,24,0xa3
0x3d,0x84,7,130140,0.98577880859375,0.8177982747917991,2,0x1d,6,120,0x30
0x3e,0x8e,14,131420,1.00531005859375,0.8241500282742776,8,0x4f,3,64,0x01
0x3f,0x93,14,131108,1.00054931640625,0.8220004275879697,6,0x4e,3,48,0x98
0x40,0xbc,8,129320,0.9732666015625,0.8115217144337769,3,0xd3,2,12,0xe0
0x41,0x71,9,130924,0.99774169921875,0.8232252389338948,6,0xd2,2,24,0xe7
0x42,0x7a,7,129860,0.98150634765625,0.8141747942930189,3,0xd1,3,24,0xa3
0x43,0x8b,7,130056,0.9844970703125,0.8169668436186356,2,0x0a,5,48,0xd7
0x44,0x58,7,129828,0.98101806640625,0.8168154649876171,4,0xcd,4,60,0x14
0x45,0xf6,7,129328,0.973388671875,0.8097244079089083,3,0xd6,4,48,0xd6
0x46,0xef,7,130288,0.988037109375,0.8191786180679308,4,0x1b,4,60,0x22
0x47,0x7c,8,130488,0.9910888671875,0.8196483518907022,2,0x47,6,120,0x26
0x48,0xd6,8,129288,0.9727783203125,0.8105507464793668,3,0x23,3,24,0xf3
0x49,0xdd,7,129972,0.98321533203125,0.8171995798015161,3,0x22,3,24,0x81
0x4a,0x36,8,131244,1.00262451171875,0.8265757977366215,2,0x04,6,120,0x26
0x4b,0xdb,8,131856,1.011962890625,0.8305666455499651,4,0x20,4,60,0x36
0x4c,0xe6,8,130340,0.98883056640625,0.8186050421511001,2,0x10,6,120,0x24
0x4d,0xa7,8,129724,0.97943115234375,0.812861002856281,2,0x30,3,16,0x86
0x4e,0x50,8,130348,0.98895263671875,0.8192422687251478,2,0x1d,6,120,0x30
0x4f,0xaa,7,132012,1.01434326171875,0.8321877480263342,4,0x3a,4,60,0x22
0x50,0x4e,8,130348,0.98895263671875,0.8192422687251479,2,0x0a,5,48,0xd7
0x51,0xab,8,130032,0.984130859375,0.8151173858268053,2,0x0b,5,64,0x92
0x52,0xcf,7,130204,0.98675537109375,0.8181267042726399,3,0xab,3,24,0xe6
0x53,0x0d,7,129532,0.97650146484375,0.8133883920411838,3,0xaa,3,24,0xb5
0x54,0xfc,7,131084,1.00018310546875,0.8266977305156853,2,0x10,6,120,0x24
0x55,0x9e,11,131796,1.01104736328125,0.8304608527775955,4,0xe9,4,60,0x16
0x56,0x99,8,129580,0.97723388671875,0.8126192594478381,2,0x10,6,120,0x24
0x57,0x72,9,131064,0.9998779296875,0.8225289168881963,4,0x5a,3,32,0xb4
0x58,0x44,7,129828,0.98101806640625,0.8168154649876171,4,0x7d,4,60,0x14
0x59,0xf7,7,128624,0.962646484375,0.8031720116109795,3,0x7c,4,33,0x25
0x5a,0x87,7,129656,0.9783935546875,0.8127588371332461,2,0x7f,4,24,0xf0
0x5b,0xa5,9,129768,0.9801025390625,0.812560779255772,2,0x10,6,120,0x24
0x5c,0x9d,12,131136,1.0009765625,0.8243468754596246,4,0x83,5,120,0x30
0x5d,0x29,9,130924,0.99774169921875,0.824077361481786,2,0x47,6,120,0x26
0x5e,0x80,9,128944,0.967529296875,0.8088482626776066,6,0x7b,2,24,0xf0
0x5f,0x06,10,131160,1.0013427734375,0.8246651018070591,6,0x7a,2,24,0xa8
0x60,0x69,8,129180,0.97113037109375,0.8095353728116355,3,0x34,3,24,0xb7
0x61,0x33,7,130032,0.984130859375,0.8167682686668449,2,0x35,3,13,0xae
0x62,0xea,9,132312,1.0189208984375,0.8336257403432852,4,0x36,4,60,0x02
0x63,0xed,8,131204,1.00201416015625,0.8260095408276718,4,0xcd,4,60,0x14
0x64,0x34,11,131284,1.00323486328125,0.8255111758473797,6,0x99,3,48,0x45
0x65,0x0b,11,132200,1.0172119140625,0.8314952722958278,8,0x98,3,64,0x92
0x66,0xd1,8,130740,0.99493408203125,0.8238759931570956,2,0x25,4,24,0xbe
0x67,0x18,8,130428,0.99017333984375,0.8209732411763879,2,0x1d,6,120,0x30
0x68,0x32,8,130228,0.98712158203125,0.8172865127456008,3,0xa5,3,24,0x57
0x69,0x60,8,129180,0.97113037109375,0.8095353728116355,3,0xa4,3,24,0xb7
0x6a,0x05,9,131292,1.00335693359375,0.826904181396486,6,0xa7,2,24,0xc5
0x6b,0x90,9,130692,0.99420166015625,0.8231689202196812,3,0xa6,2,12,0xe1
0x6c,0x25,7,129708,0.97918701171875,0.8125969011325208,2,0x98,5,64,0x92
0x6d,0x6e,6,130052,0.98443603515625,0.8181018239999944,2,0x99,5,48,0x45
0x6e,0x6d,6,130052,0.98443603515625,0.8181018239999944,2,0x1c,4,24,0xf3
0x6f,0x24,13,131716,1.00982666015625,0.82851881541389,8,0x1d,4,120,0x30
0x70,0xbd,10,129328,0.973388671875,0.8098170195318464,4,0xc9,2,16,0x84
0x71,0x41,9,130924,0.99774169921875,0.8232252389338948,6,0xc8,2,24,0xe7
0x72,0x57,9,131064,0.9998779296875,0.8225289168881962,4,0x10,5,120,0x24
0x73,0x98,8,131112,1.0006103515625,0.8243588669882209,4,0x10,5,120,0x24
0x74,0x78,9,130296,0.9881591796875,0.8197416277523627,4,0xcd,4,60,0x14
0x75,0xc4,12,132516,1.02203369140625,0.8344661173684734,8,0xd8,4,120,0x24
