effective_row_a,whitening_key_byte,q_numerator,q_probability,ratio_to_1_over_256
0x00,0x00,794,0.012115478515625,3.1015625
0x01,0xbe,234,0.003570556640625,0.9140625
0x02,0xbf,264,0.0040283203125,1.03125
0x03,0x01,212,0.00323486328125,0.828125
0x04,0xbd,288,0.00439453125,1.125
0x05,0x03,258,0.003936767578125,1.0078125
0x06,0x02,200,0.0030517578125,0.78125
0x07,0xbc,222,0.003387451171875,0.8671875
0x08,0xb9,230,0.003509521484375,0.8984375
0x09,0x07,290,0.004425048828125,1.1328125
0x0a,0x06,266,0.004058837890625,1.0390625
0x0b,0xb8,268,0.00408935546875,1.046875
0x0c,0x04,184,0.0028076171875,0.71875
0x0d,0xba,250,0.003814697265625,0.9765625
0x0e,0xbb,268,0.00408935546875,1.046875
0x0f,0x05,230,0.003509521484375,0.8984375
0x10,0xb1,246,0.003753662109375,0.9609375
0x11,0x0f,220,0.00335693359375,0.859375
0x12,0x0e,244,0.00372314453125,0.953125
0x13,0xb0,266,0.004058837890625,1.0390625
0x14,0x0c,270,0.004119873046875,1.0546875
0x15,0xb2,252,0.00384521484375,0.984375
0x16,0xb3,218,0.003326416015625,0.8515625
0x17,0x0d,260,0.00396728515625,1.015625
0x18,0x08,262,0.003997802734375,1.0234375
0x19,0xb6,254,0.003875732421875,0.9921875
0x1a,0xb7,254,0.003875732421875,0.9921875
0x1b,0x09,242,0.003692626953125,0.9453125
0x1c,0xb5,238,0.003631591796875,0.9296875
0x1d,0x0b,260,0.00396728515625,1.015625
0x1e,0x0a,262,0.003997802734375,1.0234375
0x1f,0xb4,264,0.0040283203125,1.03125
0x20,0xa1,200,0.0030517578125,0.78125
0x21,0x1f,248,0.0037841796875,0.96875
0x22,0x1e,280,0.0042724609375,1.09375
0x23,0xa0,250,0.003814697265625,0.9765625
0x24,0x1c,230,0.003509521484375,0.8984375
0x25,0xa2,250,0.003814697265625,0.9765625
0x26,0xa3,258,0.003936767578125,1.0078125
0x27,0x1d,280,0.0042724609375,1.09375
0x28,0x18,266,0.004058837890625,1.0390625
