j,i,coef,rho,Dmin,hard_row_1,hard_row_2,uniform_key_MI_bits_per_pair
0,11,189,0.9989796563788285,0.0010208645260889886,10,129,0.005333738709880905
1,12,233,0.9989966356519872,0.0010038680549828767,31,208,0.005389705501185951
2,4,107,0.999004918531909,0.000995576890339355,167,255,0.005368668558678496
3,9,47,0.9990237221786759,0.0009767546909130826,146,247,0.005276616862321843
4,11,233,0.9989966356519872,0.0010038680549828767,31,208,0.005389705501185951
5,5,188,0.9990361868294314,0.0009642779371385676,133,173,0.00535878193507536
6,13,90,0.999018791727046,0.0009816899729158974,146,227,0.005295362719891561
7,13,224,0.9990134934574615,0.0009869934603758425,10,129,0.0053142418043042
8,0,10,0.9990040695136244,0.0009964267546689403,52,55,0.005339695122688648
9,9,84,0.9990108638317863,0.000989625686219955,127,222,0.005401936941447928
10,8,42,0.9989843193773504,0.0010161967757405675,111,129,0.005353041738533203
11,7,177,0.9989968158067828,0.0010036877192610499,125,134,0.005370419781539688
12,2,159,0.999034912569728,0.0009655534269885578,191,194,0.005242066534726534
13,7,42,0.9989843193773504,0.0010161967757405675,111,129,0.005353041738533203
14,3,232,0.9989880879921054,0.0010124243365006332,26,192,0.005359635523641865
15,10,189,0.9989796563788285,0.0010208645260889886,10,129,0.005333738709880905
